"Teaching week","Date","Day","Start","End","Time zone","Room","Status","Topic"
"1","2026-09-15","Tuesday","09:50","12:15","Asia/Shanghai","Teaching Building 4, Room 4401","Class","Sequential decisions and dynamic programming"
"2","2026-09-22","Tuesday","09:50","12:15","Asia/Shanghai","Teaching Building 4, Room 4401","Class","Finite-horizon DP and shortest paths"
"3","2026-09-29","Tuesday","09:50","12:15","Asia/Shanghai","Teaching Building 4, Room 4401","Class","Stochastic dynamic programming"
"4","2026-10-06","Tuesday","","","Asia/Shanghai","","Holiday","National Day holiday"
"5","2026-10-13","Tuesday","09:50","12:15","Asia/Shanghai","Teaching Building 4, Room 4401","Class","Infinite-horizon problems"
"6","2026-10-20","Tuesday","09:50","12:15","Asia/Shanghai","Teaching Building 4, Room 4401","Class","Value iteration and policy iteration"
"7","2026-10-27","Tuesday","09:50","12:15","Asia/Shanghai","Teaching Building 4, Room 4401","Class","Approximate DP and online planning"
"8","2026-11-03","Tuesday","09:50","12:15","Asia/Shanghai","Teaching Building 4, Room 4401","Class","Lab 1: resource-constrained path planning"
"9","2026-11-10","Tuesday","09:50","12:15","Asia/Shanghai","Teaching Building 4, Room 4401","Class","Bandits, exploration and regret"
"10","2026-11-17","Tuesday","09:50","12:15","Asia/Shanghai","Teaching Building 4, Room 4401","Class","Monte Carlo methods"
"11","2026-11-24","Tuesday","09:50","12:15","Asia/Shanghai","Teaching Building 4, Room 4401","Class","Temporal-difference learning and control"
"12","2026-12-01","Tuesday","09:50","12:15","Asia/Shanghai","Teaching Building 4, Room 4401","Class","Multi-agent reinforcement learning"
"13","2026-12-08","Tuesday","09:50","12:15","Asia/Shanghai","Teaching Building 4, Room 4401","Class","Function approximation and deep Q-learning"
"14","2026-12-15","Tuesday","09:50","12:15","Asia/Shanghai","Teaching Building 4, Room 4401","Class","Policy gradients and actor-critic methods"
"15","2026-12-22","Tuesday","09:50","12:15","Asia/Shanghai","Teaching Building 4, Room 4401","Class","Reinforcement learning for language models"
"16","2026-12-29","Tuesday","09:50","12:15","Asia/Shanghai","Teaching Building 4, Room 4401","Class","Lab 2: learning for sequential decisions"
